place_id,name,lat,lng,address,rating,user_ratings_total,types
ChIJ1cvVVI9x4ToRgwkkq1jYdjw,Cargills Food City - Karapitiya 2,6.0668693,80.22345899999999,"Hirimbura Rd, Galle",4.3,368.0,"supermarket,grocery_or_supermarket,store,point_of_interest,food,establishment"
ChIJMd6c6n5x4ToRh2UeGp3qLHc,Cargills Food City - Karapitiya 1,6.068023,80.2280809,"Labuduwa Rd, Galle",4.1,992.0,"supermarket,grocery_or_supermarket,store,point_of_interest,food,establishment"
ChIJhVc3p7tz4ToRblNf47szSss,Cargills Food City - Galle 2,6.0351835,80.21712269999999,"10/8 Wakwella Rd, Galle",4.2,746.0,"supermarket,grocery_or_supermarket,store,point_of_interest,food,establishment"
ChIJQ6-HEotz4ToRN5dVgAWGGnE,Cargills Food City (Express) - Galle Fort,6.024795,80.2180412,"74 Church St, Galle",4.5,147.0,"supermarket,grocery_or_supermarket,store,point_of_interest,food,establishment"
ChIJV3-031Fy4ToRzHTzuPxSepc,Cargills Food City (Express) - Katugoda,6.0330145,80.2390163,"No. 1/389, Matara Road Katugoda",4.1,472.0,"supermarket,grocery_or_supermarket,store,point_of_interest,food,establishment"
ChIJ7ZHkbrR34ToR39cxsI5HAgE,Cargills Food City (Express) - Hikkaduwa 2,6.1156671,80.1200585,"4489+CRG, 143 Galle Rd, Hikkaduwa",4.3,139.0,"supermarket,grocery_or_supermarket,store,point_of_interest,food,establishment"
ChIJwcvC5Wtz4ToR6lDFrB4RMe8,Cargills Food City (Express) - Unawatuna,6.0198256,80.2477127,"269X+W3P, Matara Rd, Unawatuna",4.3,484.0,"grocery_or_supermarket,store,point_of_interest,food,establishment"
ChIJ0S-O1olz4ToROOrQiwdca0s,Cargills Food City - Thanipolgaha Junction,6.0460103,80.224479,"30 Morris Rd, Galle",4.4,161.0,"supermarket,grocery_or_supermarket,store,point_of_interest,food,establishment"
ChIJ4bqAWLtz4ToR3Lo6MI9r8kU,Cargills Food City - Galle 1,6.0333185,80.2154128,"24, 26 Gamini Mawatha, Galle",3.9,333.0,"supermarket,grocery_or_supermarket,store,point_of_interest,food,establishment"
ChIJU5RMFQVx4ToRhZQn70Nw64I,Cargills Food City (Express) - Hapugala,6.073818,80.197842,"B130, Hapugala",4.1,226.0,"supermarket,grocery_or_supermarket,store,point_of_interest,food,establishment"
