location,address,tel,mobile,place_id,latitude,longitude
Aggona,"No. 544, Gorakagawatta, Aggona, Mulleriyawa New Town",011 280 8534,074 327 8532,ChIJnXAf4dRX4joRYyGLqos5QB0,6.9162764,79.9245345
Akuregoda,"No. 427, Pothuarawa Road, Akuregoda",011 209 2081,076 053 7262,ChIJ8U54b8BR4joR7IMQ8KUhuRo,6.8958967,79.9421715
Aluthgama,"“Ruwangiri”, Kaluwamodara, Galle Road, Aluthgama",034 229 3460,077 970 0571,ChIJj1O9I4gu4joRilgexZWtFlc,6.436246199999999,79.9957113
Ambalangoda,"No. 435, Galle Road, Ambalangoda",091 225 9650,074 146 1946,ChIJQ6R93imB4ToRHb4YrV0XRjA,6.2419366,80.04963959999999
Andiambalama,"No. 113, Minuwangoda Road, Andiamablama",011 225 9632,077 954 2437,ChIJAzXqbSr74joREANkxxoRouM,7.1851537,79.906474
Anuradhapura,"No. 514, Maithripala Senanayake Mawatha, Anuradhapura",025 222 8323,076 116 5672,ChIJN1DAGYj1_DoRbbPcnYvZCiI,8.3268697,80.4054245
Arangala,"No. 730, Malabe Road, Arangala, Athurugiriya",011 215 6066,076 671 3126,ChIJlz661tdQ4joRgW2nFdZwzCE,6.892355299999999,79.9637789
Athurugiriya,"No. 175/12, Malambe Road, Athurugiriya",011 218 5998,077 261 9130,ChIJlz661tdQ4joRgW2nFdZwzCE,6.892355299999999,79.9637789
Attidiya,"No. 485A, Attidiya Road, Bellanthotha, Dehiwala",011 272 0477,077 178 1674,ChIJTUMDpPpa4joRV6Cu_IXNTR8,6.846841599999999,79.8855603
Avissawella,"No. 57, Kiriwandala, Avissawella",036 223 4593,076 627 3971,ChIJe8fFRBmp4zoRkvYipfT4gOg,6.9504692,80.20064359999999
Bandaragama,"No. 50, Panadura Road, Bandaragama",038 228 9097,076 233 9315,ChIJb5TmLttJ4joRVJ0cTTUGuow,6.711721199999999,79.98544350000002
Battaramulla,"No. 1024 & 1027, Pannipitiya Road, Battaramulla",011 209 6864,077 078 9468,ChIJCekUmBZR4joRewKAdcLsH7g,6.8966593,79.92242
Beruwala,"No. 167, Galle Road, Beruwala",034 229 8215,076 639 2882,ChIJaXZkniEu4joRcegUaM3amIE,6.4746706,79.98378629999999
Biyagama,"No. 306, New Kandy Road, Biyagama",011 246 8809,076 358 3880,ChIJKy2O9KFX4joR-7l0CzYS-PQ,6.9072568,79.9653271
Boralesgamuwa,"No. 105/1, Kesbewa Road, Katuwala, Boralesgamuwa",011 251 6900,076 936 0705,ChIJkbJexbxa4joRmYmClI9Glkk,6.8330191,79.9073501
Borella,"No. 85, Cotta Road, Borella",011 268 2345,077 010 8422,ChIJOdBi7ptZ4joRNSkgxlChtAg,6.913829799999999,79.8823381
Borella - Cotta Road,"No. 103, Dr. N.M. Perera Mawatha, Colombo 08",011 267 5277,076 275 0208,ChIJOdBi7ptZ4joRNSkgxlChtAg,6.913829799999999,79.8823381
